idtaxon,idnombre,ScientificName,Nombre en normativa,Normativa,Categoría,Observaciones población,Ámbito normativa,Año normativa,taxonConceptID,ScientificNameID,nameAccordingto,namePublishedIn,namePublishedInYear,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,taxonRank,WithoutAutorship,ScientificNameAuthorship,taxonRemarks,Vernacular Name,Origen,Environment,Grupo taxonómico,LP Flora vascular,LP Hongos,LP Aves,LP Anfibios y Reptiles,LP Mamíferos,LP Peces continentales,LP Invertebrados,LP Especies Marinas,LP Briófitos,idnombre_sinónimo,Sinónimo,Tipo sinonimia,Código RED NATURA,Código UICN,nombre_cientifico,nombre_comun,taxonid,categoria_amenaza,pais,scientificName,country,latitude,longitude,eventDate,estado_conservacion,causa_amenaza,tipo_habitat,area_protegida,grupo,dieta
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azorina vidalii,,161816.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydroporus guernei,Predacious diving beetle,97167384.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athous azoricus,Click beetle,97167398.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jasione lusitanica,,161853.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pterodroma madeira,Zino's Petrel,22698062.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Micrurapteryx bistrigella,Moth,97237103.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tarphius azoricus,Ironclad Beetle,112216190.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuberaria major,,161921.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cheirolophus massonianus,,161930.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trigoniophthalmus borgesi,Bristletails,97493135.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agabus godmanni,Azorean predacious diving beetle,97163447.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armeria pseudarmeria,,161981.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactuca watsoniana,,161995.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elaphoglossum semicylindricum,Scaly Tongue-fern,83644630.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argyranthemum thalassophilum,,162019.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bryoxiphium madeirense,,39160.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Echinodium setigerum,,39168.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drouetius borgesi,Weevil,97161490.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cheilolejeunea cedercreutzii,,39231.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinapidendron frutescens,,180555.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ephippigerida rosae,Portuguese Saddle Bush-cricket,80257367.0,EN,PT,,,,,,,,,,,
