nombre_cientifico,country,latitud,longitud,fecha_evento
"Lynx pardinus (Temminck, 1827)",Spain,38.037721,-3.85069,2025-01-02T17:45
"Lynx pardinus (Temminck, 1827)",Spain,38.195027,-3.960468,2025-01-03T09:30
"Lynx pardinus (Temminck, 1827)",Spain,38.14765,-3.841432,2025-01-03T16:55
"Lynx pardinus (Temminck, 1827)",Spain,38.02909,-4.098282,2025-01-02T14:48
"Lynx pardinus (Temminck, 1827)",Spain,38.297654,-3.809378,2025-01-13T16:31:34
"Lynx pardinus (Temminck, 1827)",Spain,38.231514,-4.172509,2025-01-13T00:26
"Lynx pardinus (Temminck, 1827)",Spain,38.299913,-3.822485,2025-01-12T00:14:57
"Lynx pardinus (Temminck, 1827)",Spain,38.017848,-3.968144,2025-01-19T11:28
"Lynx pardinus (Temminck, 1827)",Portugal,37.641412,-7.710715,2025-01-18T16:20Z
"Lynx pardinus (Temminck, 1827)",Portugal,37.745891,-7.698204,2025-01-18
"Lynx pardinus (Temminck, 1827)",Spain,38.152268,-3.861423,2025-01-18T13:55
"Lynx pardinus (Temminck, 1827)",Spain,38.476123,-2.843262,2025-01-17T09:42
"Lynx pardinus (Temminck, 1827)",Spain,38.496961,-3.47848,2025-01-14T11:49:40
"Lynx pardinus (Temminck, 1827)",Spain,38.30483,-3.941766,2025-01-23T12:49:26
"Lynx pardinus (Temminck, 1827)",Portugal,37.666071,-7.873299,2025-01-18
"Lynx pardinus (Temminck, 1827)",Portugal,37.639649,-7.800352,2025-01-19
"Lynx pardinus (Temminck, 1827)",Spain,38.252306,-3.928317,2025-02-01T15:02:58
"Lynx pardinus (Temminck, 1827)",Spain,37.226988,-6.109532,2025-02-07T20:07
"Lynx pardinus (Temminck, 1827)",Spain,38.580532,-2.991506,2025-02-12T10:19
"Lynx pardinus (Temminck, 1827)",Spain,38.412622,-2.892422,2025-02-25T17:33
"Lynx pardinus (Temminck, 1827)",Spain,38.540794,-2.804091,2025-03-02T17:57
"Lynx pardinus (Temminck, 1827)",Spain,38.156904,-3.93615,2025-03-07T09:28
"Lynx pardinus (Temminck, 1827)",Spain,38.166153,-3.898977,2025-03-07T08:14
"Lynx pardinus (Temminck, 1827)",Spain,42.170078,-4.365857,2025-03-19T18:44
"Lynx pardinus (Temminck, 1827)",Spain,38.065302,-3.87144,2025-03-04T17:53:04
"Lynx pardinus (Temminck, 1827)",Spain,38.13115,-3.910604,2025-04-12T09:16:39
"Lynx pardinus (Temminck, 1827)",Spain,37.124524,-6.486976,2025-04-12T11:09:35
"Lynx pardinus (Temminck, 1827)",Spain,38.288255,-3.927828,2025-04-20T19:15:21
"Lynx pardinus (Temminck, 1827)",Spain,38.299764,-3.897218,2025-04-19T14:58:20
"Lynx pardinus (Temminck, 1827)",Spain,38.343384,-3.868453,2025-04-02T09:21
"Lynx pardinus (Temminck, 1827)",Spain,38.383182,-3.93034,2025-04-20T18:29:24
